incident_ID,attribution_ID,attribution_date,attribution_type,attribution_basis,attributing_actor,attribution_it_company,attributing_country,attributed_initiator,attributed_initiator_country,attributed_initiator_category
114,154.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
115,155.0,,"Attribution given, type unclear",Media-based attribution,,,,,Unknown,Unknown - not attributed
116,156.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,,"Korea, Republic of",Non-state-group
117,157.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,,Japan,Non-state-group
118,8799.0,2009-04-08,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,Not available,Not available,United States,Not available,China,"Non-state actor, state-affiliation suggested"
118,8799.0,2009-04-08,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,Not available,Not available,United States,Not available,Russia,"Non-state actor, state-affiliation suggested"
119,8545.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,Not available,,NSA/Equation Group,United States,State
119,8545.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,Not available,,NSA/Equation Group,United Kingdom,State
119,8545.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,Not available,,GCHQ,United States,State
119,8545.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,Not available,,GCHQ,United Kingdom,State
119,8544.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,Not available,,NSA/Equation Group,United States,State
119,8544.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,Not available,,NSA/Equation Group,United Kingdom,State
119,8544.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,Not available,,GCHQ,United States,State
119,8544.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,Not available,,GCHQ,United Kingdom,State
120,8670.0,2009-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,Not available,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
120,8669.0,2009-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Lazarus Group/Labyrinth Chollima/HIDDEN COBRA/Guardians of Peace/ZINC/NICKEL ACADEMY/NewRomanic Cyber Army Team/Whois Hacking Team/Appleworm/Group 77/G0032 (Reconnaissance General Bureau, Bureau 121, Unit 180, Lab 110)","Korea, Democratic People's Republic of","Non-state actor, state-affiliation suggested"
121,163.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,,China,Non-state-group
122,164.0,,"Attribution given, type unclear",Media-based attribution,,,,,Russia,Unknown - not attributed
123,165.0,2020-01-01,Domestic legal action,Attribution by receiver government / state entity,,,,MSS,China,"Non-state actor, state-affiliation suggested"
124,166.0,2009-01-01,"Media report (e.g., Reuters makes an attribution statement, without naming further sources)",Media-based attribution,,,,,Russia,"Non-state actor, state-affiliation suggested"
125,169.0,2010-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,"Axiom/APT17/Tailgater Team/Group 72/Dogfish/G0001 (MSS, Jinan Bureau) < Winnti Umbrella/G0044 ",China,"Non-state actor, state-affiliation suggested"
125,168.0,2010-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Receiver attributes attacker,,,,"Axiom/APT17/Tailgater Team/Group 72/Dogfish/G0001 (MSS, Jinan Bureau) < Winnti Umbrella/G0044 ",China,"Non-state actor, state-affiliation suggested"
125,167.0,2010-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Axiom/APT17/Tailgater Team/Group 72/Dogfish/G0001 (MSS, Jinan Bureau) < Winnti Umbrella/G0044 ",Unknown,Unknown - not attributed
126,170.0,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,,China,Unknown - not attributed
127,172.0,2012-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,,Unknown,"Non-state actor, state-affiliation suggested"
127,171.0,2012-01-01,"Attribution given, type unclear",Media-based attribution,,,,,Israel,State
127,171.0,2012-01-01,"Attribution given, type unclear",Media-based attribution,,,,,United States,State
127,173.0,2012-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by third-party,,,,,Israel,State
127,173.0,2012-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by third-party,,,,,United States,State
128,174.0,2016-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,,China,"Non-state actor, state-affiliation suggested"
129,175.0,2011-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,,Malaysia,"Non-state actor, state-affiliation suggested"
130,176.0,2014-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"Turla/Waterbug/Venomous Bear/Snake/Uroburos/Group 88/Krypton/G0010 (FSB, 16th / 18th Center)",Russia,"Non-state actor, state-affiliation suggested"
131,177.0,2011-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,Inter-Services Intelligence,Pakistan,State
132,178.0,2015-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,Emissary Panda/APT27/Lucky Mouse/BRONZE UNION/TEMP.Hippo/Group 35/TG-3390/Iron Tiger/ZipToken/G0027,China,"Non-state actor, state-affiliation suggested"
133,180.0,2018-01-01,Political statement/report and indictment / sanctions,Attribution by receiver government / state entity,,,,"APT26/TURBINE PANDA/Hippo Team/JerseyMikes (MSS, Jiangsu Bureau)",China,"Non-state actor, state-affiliation suggested"
133,180.0,2018-01-01,Political statement/report and indictment / sanctions,Attribution by receiver government / state entity,,,,MSS/JSSD,China,"Non-state actor, state-affiliation suggested"
133,179.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"APT26/TURBINE PANDA/Hippo Team/JerseyMikes (MSS, Jiangsu Bureau)",China,"Non-state actor, state-affiliation suggested"
133,179.0,2018-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,MSS/JSSD,China,"Non-state actor, state-affiliation suggested"
134,181.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,GCHQ,United Kingdom,State
134,182.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,,,GCHQ,United Kingdom,State
135,183.0,2011-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Attribution by receiver government / state entity,,,,,China,"Non-state actor, state-affiliation suggested"
136,184.0,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,El Machete,Brazil,Unknown - not attributed
137,186.0,2013-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",Attribution by third-party,,,,GCHQ,United Kingdom,State
137,185.0,2013-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,,,GCHQ,United Kingdom,State
138,187.0,2016-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,"APT1/Comment Crew/Comment Panda/Byzantine Candor/Group 3/ TG-8223/BrownFox/G0006 (PLA, Unit 61398)",Unknown,Unknown - not attributed
138,187.0,2016-01-01,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,PLA Unit 61398,Unknown,Unknown - not attributed
139,188.0,,"Technical report (e.g., by IT-companies, Citizen Lab, EFF)",IT-security community attributes attacker,,,,,India,Non-state-group
140,189.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,Anonymous,Unknown,Non-state-group
141,192.0,2010-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",IT-security community attributes attacker,,,,,Vietnam,Non-state-group
141,190.0,2010-01-01,"Direct statement in media report (e.g., Reuters article cites the attribution statements by a person) / self-attribution via social media",Media-based attribution,,,,,Vietnam,State
141,191.0,2010-01-01,"Political statement / report (e.g., on government / state agency websites)",Attribution by third-party,,,,,Vietnam,State
142,194.0,2018-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Attribution by receiver government / state entity,,,,,China,State
142,193.0,2018-01-01,"Anonymous statement in media report (e.g., Reuters article cites the attribution statements of unnamed officials, or persons with knowledge into the matter etc.)",Media-based attribution,,,,,China,State
143,195.0,,"Self-attribution in the course of the attack (e.g., via defacement statements on websites)",Attacker confirms,,,,People’s Army of the Fourth Awakening (Latvia),Latvia,Non-state-group
